-84.5,13, TEXTURE ,3009,45,40,15,0, FAO , NAMERICA 
-84.5,13.5, TEXTURE ,3003,45,40,15,0, FAO , NAMERICA 
-84.5,14, TEXTURE ,2996,45,40,15,0, FAO , NAMERICA 
-84.5,14.5, TEXTURE ,2989,45,40,15,0, FAO , NAMERICA 
-84,9, TEXTURE ,3051,25,30,45,0, FAO , NAMERICA 
-84,9.5, TEXTURE ,3047,45,40,15,0, FAO , NAMERICA 
-84,10, TEXTURE ,3042,45,40,15,0, FAO , NAMERICA 
-84,10.5, TEXTURE ,3037,25,30,45,2, FAO , NAMERICA 
-84,11.5, TEXTURE ,3027,25,30,45,2, FAO , NAMERICA 
-84,12, TEXTURE ,3021,25,30,45,2, FAO , NAMERICA 
-84,12.5, TEXTURE ,3015,25,30,45,2, FAO , NAMERICA 
-84,13, TEXTURE ,3009,25,30,45,2, FAO , NAMERICA 
-84,13.5, TEXTURE ,3003,45,40,15,0, FAO , NAMERICA 
-84,14, TEXTURE ,2996,45,40,15,0, FAO , NAMERICA 
-84,14.5, TEXTURE ,2989,45,40,15,0, FAO , NAMERICA 
-83.5,8.5, TEXTURE ,3055,25,30,45,0, FAO , NAMERICA 
-83.5,9, TEXTURE ,3051,25,30,45,0, FAO , NAMERICA 
-83.5,9.5, TEXTURE ,3047,25,30,45,0, FAO , NAMERICA 
-83.5,10, TEXTURE ,3042,45,40,15,0, FAO , NAMERICA 
-83.5,14, TEXTURE ,2996,25,30,45,2, FAO , NAMERICA 
-83.5,14.5, TEXTURE ,2989,45,40,15,0, FAO , NAMERICA 
-83,8, TEXTURE ,3059,45,40,15,0, FAO , NAMERICA 
-83,8.5, TEXTURE ,3055,45,40,15,0, FAO , NAMERICA 
-83,9, TEXTURE ,3051,25,30,45,0, FAO , NAMERICA 
-83,9.5, TEXTURE ,3047,25,30,45,0, FAO , NAMERICA 
-82.5,8, TEXTURE ,3059,25,30,45,1, FAO , NAMERICA 
-82.5,8.5, TEXTURE ,3055,45,40,15,0, FAO , NAMERICA 
-82.5,9, TEXTURE ,3051,25,30,45,1, FAO , NAMERICA 
-82,8, TEXTURE ,3059,45,40,15,0, FAO , NAMERICA 
-82,8.5, TEXTURE ,3055,45,40,15,0, FAO , NAMERICA 
-81.5,7.5, TEXTURE ,3063,45,40,15,0, FAO , NAMERICA 
-81.5,8, TEXTURE ,3059,25,30,45,0, FAO , NAMERICA 
-81.5,8.5, TEXTURE ,3055,45,40,15,0, FAO , NAMERICA 
-81,7, TEXTURE ,3067,25,30,45,0, FAO , NAMERICA 
-81,7.5, TEXTURE ,3063,45,40,15,0, FAO , NAMERICA 
-81,8, TEXTURE ,3059,45,40,15,0, FAO , NAMERICA 
-81,8.5, TEXTURE ,3055,45,40,15,0, FAO , NAMERICA 
-80.5,7.5, TEXTURE ,3063,25,30,45,0, FAO , NAMERICA 
-80.5,8.5, TEXTURE ,3055,25,30,45,0, FAO , NAMERICA 
-80,0, TEXTURE ,3091,25,30,45,0, FAO , SAMERICA 
-80,0.5, TEXTURE ,3091,25,30,45,0, FAO , SAMERICA 
-80,8.5, TEXTURE ,3055,25,30,45,0, FAO , NAMERICA 
-80,9, TEXTURE ,3051,45,40,15,0, FAO , NAMERICA 
-79.5,0, TEXTURE ,3091,25,30,45,0, FAO , SAMERICA 
-79.5,0.5, TEXTURE ,3091,25,30,45,0, FAO , SAMERICA 
-79.5,9, TEXTURE ,3051,45,40,15,0, FAO , NAMERICA 
-79,0, TEXTURE ,3091,45,40,15,0, FAO , SAMERICA 
-79,0.5, TEXTURE ,3091,45,40,15,0, FAO , SAMERICA 
-79,1, TEXTURE ,3091,25,30,45,2, FAO , SAMERICA 
-79,1.5, TEXTURE ,3090,25,30,45,7, FAO , SAMERICA 
-79,8.5, TEXTURE ,3055,45,40,15,0, FAO , NAMERICA 
-79,9, TEXTURE ,3051,45,40,15,0, FAO , NAMERICA 
-78.5,0, TEXTURE ,3091,25,30,45,0, FAO , SAMERICA 
-78.5,0.5, TEXTURE ,3091,45,40,15,0, FAO , SAMERICA 
-78.5,1, TEXTURE ,3091,45,40,15,0, FAO , SAMERICA 
-78.5,1.5, TEXTURE ,3090,45,40,15,2, FAO , SAMERICA 
-78.5,2, TEXTURE ,3089,25,30,45,3, FAO , SAMERICA 
-78.5,7.5, TEXTURE ,3063,45,40,15,0, FAO , NAMERICA 
-78.5,8, TEXTURE ,3059,45,40,15,1, FAO , NAMERICA 
-78.5,8.5, TEXTURE ,3055,25,30,45,0, FAO , NAMERICA 
-78.5,9, TEXTURE ,3051,45,40,15,0, FAO , NAMERICA 
-78,0, TEXTURE ,3091,45,40,15,0, FAO , SAMERICA 
-78,0.5, TEXTURE ,3091,25,30,45,0, FAO , SAMERICA 
-78,1, TEXTURE ,3091,45,40,15,0, FAO , SAMERICA 
-78,1.5, TEXTURE ,3090,45,40,15,0, FAO , SAMERICA 
-78,2, TEXTURE ,3089,25,30,45,0, FAO , SAMERICA 
-78,2.5, TEXTURE ,3088,25,30,45,0, FAO , SAMERICA 
-78,7, TEXTURE ,3067,45,40,15,0, FAO , SAMERICA 
-78,7.5, TEXTURE ,3063,45,40,15,0, FAO , NAMERICA 
-78,8, TEXTURE ,3059,25,30,45,2, FAO , NAMERICA 
-78,8.5, TEXTURE ,3055,25,30,45,3, FAO , NAMERICA 
-77.5,0, TEXTURE ,3091,45,40,15,0, FAO , SAMERICA 
-77.5,0.5, TEXTURE ,3091,45,40,15,0, FAO , SAMERICA 
-77.5,1, TEXTURE ,3091,45,40,15,0, FAO , SAMERICA 
-77.5,1.5, TEXTURE ,3090,25,30,45,0, FAO , SAMERICA 
-77.5,2, TEXTURE ,3089,25,30,45,0, FAO , SAMERICA 
-77.5,2.5, TEXTURE ,3088,25,30,45,0, FAO , SAMERICA 
-77.5,3, TEXTURE ,3086,25,30,45,0, FAO , SAMERICA 
-77.5,3.5, TEXTURE ,3085,25,30,45,7, FAO , SAMERICA 
-77.5,4, TEXTURE ,3083,25,30,45,0, FAO , SAMERICA 
-77.5,4.5, TEXTURE ,3081,25,30,45,0, FAO , SAMERICA 
-77.5,5, TEXTURE ,3078,25,30,45,0, FAO , SAMERICA 
-77.5,5.5, TEXTURE ,3076,25,30,45,0, FAO , SAMERICA 
-77.5,6, TEXTURE ,3073,25,30,45,0, FAO , SAMERICA 
-77.5,6.5, TEXTURE ,3070,25,30,45,0, FAO , SAMERICA 
-77.5,7, TEXTURE ,3067,25,30,45,0, FAO , SAMERICA 
-77.5,7.5, TEXTURE ,3063,25,30,45,0, FAO , SAMERICA 
-77.5,8, TEXTURE ,3059,45,40,15,0, FAO , NAMERICA 
-77,0, TEXTURE ,3091,25,30,45,0, FAO , SAMERICA 
-77,0.5, TEXTURE ,3091,25,30,45,0, FAO , SAMERICA 
-77,1, TEXTURE ,3091,25,30,45,0, FAO , SAMERICA 
-77,1.5, TEXTURE ,3090,25,30,45,0, FAO , SAMERICA 
-77,2, TEXTURE ,3089,45,40,15,0, FAO , SAMERICA 
-77,2.5, TEXTURE ,3088,45,40,15,0, FAO , SAMERICA 
-77,3, TEXTURE ,3086,45,40,15,0, FAO , SAMERICA 
-77,3.5, TEXTURE ,3085,25,30,45,0, FAO , SAMERICA 
-77,4, TEXTURE ,3083,25,30,45,0, FAO , SAMERICA 
-77,4.5, TEXTURE ,3081,25,30,45,0, FAO , SAMERICA 
-77,5, TEXTURE ,3078,25,30,45,0, FAO , SAMERICA 
-77,5.5, TEXTURE ,3076,25,30,45,0, FAO , SAMERICA 
-77,6, TEXTURE ,3073,25,30,45,0, FAO , SAMERICA 
-77,6.5, TEXTURE ,3070,25,30,45,7, FAO , SAMERICA 
-77,7, TEXTURE ,3067,25,30,45,0, FAO , SAMERICA 
-77,7.5, TEXTURE ,3063,25,30,45,0, FAO , SAMERICA 
-77,8, TEXTURE ,3059,25,30,45,0, FAO , SAMERICA 
-76.5,0, TEXTURE ,3091,25,30,45,0, FAO , SAMERICA 
-76.5,0.5, TEXTURE ,3091,25,30,45,0, FAO , SAMERICA 
-76.5,1, TEXTURE ,3091,25,30,45,0, FAO , SAMERICA 
-76.5,1.5, TEXTURE ,3090,45,40,15,0, FAO , SAMERICA 
-76.5,2, TEXTURE ,3089,25,30,45,0, FAO , SAMERICA 
-76.5,2.5, TEXTURE ,3088,45,40,15,0, FAO , SAMERICA 
-76.5,3, TEXTURE ,3086,45,40,15,0, FAO , SAMERICA 
-76.5,3.5, TEXTURE ,3085,45,40,15,0, FAO , SAMERICA 
-76.5,4, TEXTURE ,3083,45,40,15,0, FAO , SAMERICA 
-76.5,4.5, TEXTURE ,3081,25,30,45,0, FAO , SAMERICA 
-76.5,5, TEXTURE ,3078,25,30,45,0, FAO , SAMERICA 
-76.5,5.5, TEXTURE ,3076,25,30,45,0, FAO , SAMERICA 
-76.5,6, TEXTURE ,3073,25,30,45,0, FAO , SAMERICA 
-76.5,6.5, TEXTURE ,3070,25,30,45,0, FAO , SAMERICA 
-76.5,7, TEXTURE ,3067,25,30,45,0, FAO , SAMERICA 
-76.5,7.5, TEXTURE ,3063,25,30,45,0, FAO , SAMERICA 
-76.5,8, TEXTURE ,3059,25,30,45,0, FAO , SAMERICA 
-76.5,8.5, TEXTURE ,3055,25,30,45,0, FAO , SAMERICA 
