-81.5,8, DENSITY ,3059,1.37, NAMERICA
-81.5,8.5, DENSITY ,3055,1.37, NAMERICA
-81,7, DENSITY ,3067,1.37, NAMERICA
-81,7.5, DENSITY ,3063,1.37, NAMERICA
-81,8, DENSITY ,3059,1.37, NAMERICA
-81,8.5, DENSITY ,3055,1.37, NAMERICA
-80.5,7.5, DENSITY ,3063,1.37, NAMERICA
-80.5,8.5, DENSITY ,3055,1.37, NAMERICA
-80,0, DENSITY ,3091,1.45, SAMERICA
-80,0.5, DENSITY ,3091,1.45, SAMERICA
-80,8.5, DENSITY ,3055,1.36, NAMERICA
-80,9, DENSITY ,3051,1.36, NAMERICA
-79.5,0, DENSITY ,3091,1.45, SAMERICA
-79.5,0.5, DENSITY ,3091,1.45, SAMERICA
-79.5,9, DENSITY ,3051,1.36, NAMERICA
-79,0, DENSITY ,3091,1.22, SAMERICA
-79,0.5, DENSITY ,3091,1.22, SAMERICA
-79,1, DENSITY ,3091,1.4, SAMERICA
-79,1.5, DENSITY ,3090,1.4, SAMERICA
-79,8.5, DENSITY ,3055,1.36, NAMERICA
-79,9, DENSITY ,3051,1.36, NAMERICA
-78.5,0, DENSITY ,3091,1.22, SAMERICA
-78.5,0.5, DENSITY ,3091,1.22, SAMERICA
-78.5,1, DENSITY ,3091,1.4, SAMERICA
-78.5,1.5, DENSITY ,3090,1.4, SAMERICA
-78.5,2, DENSITY ,3089,1.33, SAMERICA
-78.5,7.5, DENSITY ,3063,1.36, NAMERICA
-78.5,8, DENSITY ,3059,1.36, NAMERICA
-78.5,8.5, DENSITY ,3055,1.36, NAMERICA
-78.5,9, DENSITY ,3051,1.36, NAMERICA
-78,0, DENSITY ,3091,1.11, SAMERICA
-78,0.5, DENSITY ,3091,1.11, SAMERICA
-78,1, DENSITY ,3091,0.83, SAMERICA
-78,1.5, DENSITY ,3090,0.83, SAMERICA
-78,2, DENSITY ,3089,1.22, SAMERICA
-78,2.5, DENSITY ,3088,1.22, SAMERICA
-78,7, DENSITY ,3067,1.44, SAMERICA
-78,7.5, DENSITY ,3063,1.44, NAMERICA
-78,8, DENSITY ,3059,1.44, NAMERICA
-78,8.5, DENSITY ,3055,1.44, NAMERICA
-77.5,0, DENSITY ,3091,1.18, SAMERICA
-77.5,0.5, DENSITY ,3091,1.18, SAMERICA
-77.5,1, DENSITY ,3091,1.27, SAMERICA
-77.5,1.5, DENSITY ,3090,1.27, SAMERICA
-77.5,2, DENSITY ,3089,1.15, SAMERICA
-77.5,2.5, DENSITY ,3088,1.15, SAMERICA
-77.5,3, DENSITY ,3086,1.24, SAMERICA
-77.5,3.5, DENSITY ,3085,1.25, SAMERICA
-77.5,4, DENSITY ,3083,1.25, SAMERICA
-77.5,4.5, DENSITY ,3081,1.45, SAMERICA
-77.5,5, DENSITY ,3078,1.45, SAMERICA
-77.5,5.5, DENSITY ,3076,1.44, SAMERICA
-77.5,6, DENSITY ,3073,1.44, SAMERICA
-77.5,6.5, DENSITY ,3070,1.46, SAMERICA
-77.5,7, DENSITY ,3067,1.44, SAMERICA
-77.5,7.5, DENSITY ,3063,1.44, SAMERICA
-77.5,8, DENSITY ,3059,1.44, NAMERICA
-77,0, DENSITY ,3091,1.18, SAMERICA
-77,0.5, DENSITY ,3091,1.18, SAMERICA
-77,1, DENSITY ,3091,1.27, SAMERICA
-77,1.5, DENSITY ,3090,1.27, SAMERICA
-77,2, DENSITY ,3089,1.15, SAMERICA
-77,2.5, DENSITY ,3088,1.15, SAMERICA
-77,3, DENSITY ,3086,1.24, SAMERICA
-77,3.5, DENSITY ,3085,1.25, SAMERICA
-77,4, DENSITY ,3083,1.25, SAMERICA
-77,4.5, DENSITY ,3081,1.45, SAMERICA
-77,5, DENSITY ,3078,1.45, SAMERICA
-77,5.5, DENSITY ,3076,1.44, SAMERICA
-77,6, DENSITY ,3073,1.44, SAMERICA
-77,6.5, DENSITY ,3070,1.46, SAMERICA
-77,7, DENSITY ,3067,1.44, SAMERICA
-77,7.5, DENSITY ,3063,1.44, SAMERICA
-77,8, DENSITY ,3059,1.44, SAMERICA
-76.5,0, DENSITY ,3091,1.46, SAMERICA
-76.5,0.5, DENSITY ,3091,1.46, SAMERICA
-76.5,1, DENSITY ,3091,1.31, SAMERICA
-76.5,1.5, DENSITY ,3090,1.31, SAMERICA
-76.5,2, DENSITY ,3089,1.11, SAMERICA
-76.5,2.5, DENSITY ,3088,1.11, SAMERICA
-76.5,3, DENSITY ,3086,1.19, SAMERICA
-76.5,3.5, DENSITY ,3085,1.22, SAMERICA
-76.5,4, DENSITY ,3083,1.22, SAMERICA
-76.5,4.5, DENSITY ,3081,1.2, SAMERICA
-76.5,5, DENSITY ,3078,1.2, SAMERICA
-76.5,5.5, DENSITY ,3076,1.2, SAMERICA
-76.5,6, DENSITY ,3073,1.2, SAMERICA
-76.5,6.5, DENSITY ,3070,1.27, SAMERICA
-76.5,7, DENSITY ,3067,1.27, SAMERICA
-76.5,7.5, DENSITY ,3063,1.27, SAMERICA
-76.5,8, DENSITY ,3059,1.46, SAMERICA
-76.5,8.5, DENSITY ,3055,1.46, SAMERICA
-76,0, DENSITY ,3091,1.46, SAMERICA
-76,0.5, DENSITY ,3091,1.46, SAMERICA
-76,1, DENSITY ,3091,1.31, SAMERICA
-76,1.5, DENSITY ,3090,1.31, SAMERICA
-76,2, DENSITY ,3089,1.11, SAMERICA
-76,2.5, DENSITY ,3088,1.11, SAMERICA
-76,3, DENSITY ,3086,1.19, SAMERICA
-76,3.5, DENSITY ,3085,1.22, SAMERICA
-76,4, DENSITY ,3083,1.22, SAMERICA
-76,4.5, DENSITY ,3081,1.2, SAMERICA
-76,5, DENSITY ,3078,1.2, SAMERICA
-76,5.5, DENSITY ,3076,1.2, SAMERICA
-76,6, DENSITY ,3073,1.2, SAMERICA
-76,6.5, DENSITY ,3070,1.27, SAMERICA
-76,7, DENSITY ,3067,1.27, SAMERICA
-76,7.5, DENSITY ,3063,1.27, SAMERICA
-76,8, DENSITY ,3059,1.46, SAMERICA
-76,8.5, DENSITY ,3055,1.46, SAMERICA
-76,9, DENSITY ,3051,1.59, SAMERICA
-75.5,0, DENSITY ,3091,1.39, SAMERICA
-75.5,0.5, DENSITY ,3091,1.39, SAMERICA
-75.5,1, DENSITY ,3091,1.39, SAMERICA
-75.5,1.5, DENSITY ,3090,1.39, SAMERICA
-75.5,2, DENSITY ,3089,1.27, SAMERICA
-75.5,2.5, DENSITY ,3088,1.27, SAMERICA
-75.5,3, DENSITY ,3086,1.22, SAMERICA
-75.5,3.5, DENSITY ,3085,1.56, SAMERICA
-75.5,4, DENSITY ,3083,1.56, SAMERICA
-75.5,4.5, DENSITY ,3081,1.19, SAMERICA
-75.5,5, DENSITY ,3078,1.19, SAMERICA
-75.5,5.5, DENSITY ,3076,1.19, SAMERICA
-75.5,6, DENSITY ,3073,1.19, SAMERICA
-75.5,6.5, DENSITY ,3070,1.11, SAMERICA
-75.5,7, DENSITY ,3067,1.2, SAMERICA
-75.5,7.5, DENSITY ,3063,1.2, SAMERICA
-75.5,8, DENSITY ,3059,1.45, SAMERICA
-75.5,8.5, DENSITY ,3055,1.45, SAMERICA
-75.5,9, DENSITY ,3051,1.59, SAMERICA
-75.5,9.5, DENSITY ,3047,1.5, SAMERICA
-75.5,10, DENSITY ,3042,1.5, SAMERICA
-75.5,10.5, DENSITY ,3037,1.59, SAMERICA
-75,0, DENSITY ,3091,1.39, SAMERICA
-75,0.5, DENSITY ,3091,1.39, SAMERICA
-75,1, DENSITY ,3091,1.39, SAMERICA
-75,1.5, DENSITY ,3090,1.39, SAMERICA
-75,2, DENSITY ,3089,1.27, SAMERICA
-75,2.5, DENSITY ,3088,1.27, SAMERICA
-75,3, DENSITY ,3086,1.22, SAMERICA
-75,3.5, DENSITY ,3085,1.56, SAMERICA
-75,4, DENSITY ,3083,1.56, SAMERICA
-75,4.5, DENSITY ,3081,1.19, SAMERICA
-75,5, DENSITY ,3078,1.19, SAMERICA
-75,5.5, DENSITY ,3076,1.19, SAMERICA
-75,6, DENSITY ,3073,1.19, SAMERICA
-75,6.5, DENSITY ,3070,1.11, SAMERICA
-75,7, DENSITY ,3067,1.2, SAMERICA
-75,7.5, DENSITY ,3063,1.2, SAMERICA
-75,8, DENSITY ,3059,1.45, SAMERICA
-75,8.5, DENSITY ,3055,1.45, SAMERICA
-75,9, DENSITY ,3051,1.59, SAMERICA
-75,9.5, DENSITY ,3047,1.5, SAMERICA
-75,10, DENSITY ,3042,1.5, SAMERICA
-75,10.5, DENSITY ,3037,1.59, SAMERICA
-74.5,0, DENSITY ,3091,1.39, SAMERICA
-74.5,0.5, DENSITY ,3091,1.39, SAMERICA
-74.5,1, DENSITY ,3091,1.27, SAMERICA
-74.5,1.5, DENSITY ,3090,1.27, SAMERICA
-74.5,2, DENSITY ,3089,1.27, SAMERICA
-74.5,2.5, DENSITY ,3088,1.27, SAMERICA
-74.5,3, DENSITY ,3086,1.27, SAMERICA
-74.5,3.5, DENSITY ,3085,1.2, SAMERICA
-74.5,4, DENSITY ,3083,1.2, SAMERICA
-74.5,4.5, DENSITY ,3081,1.27, SAMERICA
-74.5,5, DENSITY ,3078,1.27, SAMERICA
-74.5,5.5, DENSITY ,3076,1.46, SAMERICA
-74.5,6, DENSITY ,3073,1.46, SAMERICA
-74.5,6.5, DENSITY ,3070,1.46, SAMERICA
-74.5,7, DENSITY ,3067,1.36, SAMERICA
-74.5,7.5, DENSITY ,3063,1.36, SAMERICA
-74.5,8, DENSITY ,3059,1.2, SAMERICA
-74.5,8.5, DENSITY ,3055,1.2, SAMERICA
-74.5,9, DENSITY ,3051,1.45, SAMERICA
-74.5,9.5, DENSITY ,3047,1.59, SAMERICA
-74.5,10, DENSITY ,3042,1.59, SAMERICA
-74.5,10.5, DENSITY ,3037,1.59, SAMERICA
-74,0, DENSITY ,3091,1.27, SAMERICA
-74,0.5, DENSITY ,3091,1.27, SAMERICA
-74,1, DENSITY ,3091,1.27, SAMERICA
-74,1.5, DENSITY ,3090,1.27, SAMERICA
-74,2, DENSITY ,3089,1.27, SAMERICA
-74,2.5, DENSITY ,3088,1.27, SAMERICA
-74,3, DENSITY ,3086,1.27, SAMERICA
-74,3.5, DENSITY ,3085,1.48, SAMERICA
-74,4, DENSITY ,3083,1.48, SAMERICA
-74,4.5, DENSITY ,3081,1.2, SAMERICA
-74,5, DENSITY ,3078,1.2, SAMERICA
-74,5.5, DENSITY ,3076,1.56, SAMERICA
-74,6, DENSITY ,3073,1.56, SAMERICA
-74,6.5, DENSITY ,3070,1.46, SAMERICA
-74,7, DENSITY ,3067,1.45, SAMERICA
-74,7.5, DENSITY ,3063,1.45, SAMERICA
-74,8, DENSITY ,3059,1.45, SAMERICA
-74,8.5, DENSITY ,3055,1.45, SAMERICA
-74,9, DENSITY ,3051,1.6, SAMERICA
-74,9.5, DENSITY ,3047,1.45, SAMERICA
-74,10, DENSITY ,3042,1.45, SAMERICA
-74,10.5, DENSITY ,3037,1.19, SAMERICA
-74,11, DENSITY ,3032,1.19, SAMERICA
-73.5,0, DENSITY ,3091,1.27, SAMERICA
-73.5,0.5, DENSITY ,3091,1.27, SAMERICA
-73.5,1, DENSITY ,3091,1.27, SAMERICA
-73.5,1.5, DENSITY ,3090,1.27, SAMERICA
-73.5,2, DENSITY ,3089,1.27, SAMERICA
-73.5,2.5, DENSITY ,3088,1.27, SAMERICA
-73.5,3, DENSITY ,3086,1.27, SAMERICA
-73.5,3.5, DENSITY ,3085,1.48, SAMERICA
-73.5,4, DENSITY ,3083,1.48, SAMERICA
-73.5,4.5, DENSITY ,3081,1.2, SAMERICA
-73.5,5, DENSITY ,3078,1.2, SAMERICA
-73.5,5.5, DENSITY ,3076,1.56, SAMERICA
-73.5,6, DENSITY ,3073,1.56, SAMERICA
-73.5,6.5, DENSITY ,3070,1.46, SAMERICA
-73.5,7, DENSITY ,3067,1.45, SAMERICA
-73.5,7.5, DENSITY ,3063,1.45, SAMERICA
-73.5,8, DENSITY ,3059,1.45, SAMERICA
-73.5,8.5, DENSITY ,3055,1.45, SAMERICA
-73.5,9, DENSITY ,3051,1.6, SAMERICA
-73.5,9.5, DENSITY ,3047,1.45, SAMERICA
-73.5,10, DENSITY ,3042,1.45, SAMERICA
-73.5,10.5, DENSITY ,3037,1.19, SAMERICA
-73.5,11, DENSITY ,3032,1.19, SAMERICA
-73,0, DENSITY ,3091,1.39, SAMERICA
-73,0.5, DENSITY ,3091,1.39, SAMERICA
-73,1, DENSITY ,3091,1.27, SAMERICA
-73,1.5, DENSITY ,3090,1.27, SAMERICA
-73,2, DENSITY ,3089,1.27, SAMERICA
-73,2.5, DENSITY ,3088,1.27, SAMERICA
-73,3, DENSITY ,3086,1.27, SAMERICA
-73,3.5, DENSITY ,3085,1.27, SAMERICA
-73,4, DENSITY ,3083,1.27, SAMERICA
-73,4.5, DENSITY ,3081,1.56, SAMERICA
-73,5, DENSITY ,3078,1.56, SAMERICA
