-81.5,8, phh2o ,3059,5.45914, NAMERICA
-81.5,8.5, phh2o ,3055,7.29958, NAMERICA
-81,7, phh2o ,3067,5.43306, NAMERICA
-81,7.5, phh2o ,3063,5.58513, NAMERICA
-81,8, phh2o ,3059,5.43346, NAMERICA
-81,8.5, phh2o ,3055,5.24871, NAMERICA
-80.5,7.5, phh2o ,3063,6.35479, NAMERICA
-80.5,8.5, phh2o ,3055,5.17464, NAMERICA
-80,0, phh2o ,3091,5.81915, SAMERICA
-80,0.5, phh2o ,3091,5.57825, SAMERICA
-80,8.5, phh2o ,3055,5.42043, NAMERICA
-80,9, phh2o ,3051,5.61052, NAMERICA
-79.5,0, phh2o ,3091,5.48601, SAMERICA
-79.5,0.5, phh2o ,3091,6.18528, SAMERICA
-79.5,9, phh2o ,3051,5.61052, NAMERICA
-79,0, phh2o ,3091,5.81196, SAMERICA
-79,0.5, phh2o ,3091,6.13542, SAMERICA
-79,1, phh2o ,3091,7.30902, SAMERICA
-79,1.5, phh2o ,3090,7.61154, SAMERICA
-79,8.5, phh2o ,3055,5.6479, NAMERICA
-79,9, phh2o ,3051,7.59577, NAMERICA
-78.5,0, phh2o ,3091,5.95595, SAMERICA
-78.5,0.5, phh2o ,3091,5.66726, SAMERICA
-78.5,1, phh2o ,3091,6.21309, SAMERICA
-78.5,1.5, phh2o ,3090,6.57402, SAMERICA
-78.5,2, phh2o ,3089,7.61154, SAMERICA
-78.5,7.5, phh2o ,3063,5.5816, NAMERICA
-78.5,8, phh2o ,3059,5.5566, NAMERICA
-78.5,8.5, phh2o ,3055,5.56174, NAMERICA
-78.5,9, phh2o ,3051,6.91589, NAMERICA
-78,0, phh2o ,3091,6.00185, SAMERICA
-78,0.5, phh2o ,3091,5.84681, SAMERICA
-78,1, phh2o ,3091,5.59825, SAMERICA
-78,1.5, phh2o ,3090,5.43124, SAMERICA
-78,2, phh2o ,3089,6.34466, SAMERICA
-78,2.5, phh2o ,3088,7.61154, SAMERICA
-78,7, phh2o ,3067,5.61534, SAMERICA
-78,7.5, phh2o ,3063,5.56106, NAMERICA
-78,8, phh2o ,3059,5.42978, NAMERICA
-78,8.5, phh2o ,3055,5.43882, NAMERICA
-77.5,0, phh2o ,3091,6.33082, SAMERICA
-77.5,0.5, phh2o ,3091,6.46433, SAMERICA
-77.5,1, phh2o ,3091,6.57131, SAMERICA
-77.5,1.5, phh2o ,3090,6.20445, SAMERICA
-77.5,2, phh2o ,3089,5.21628, SAMERICA
-77.5,2.5, phh2o ,3088,5.81055, SAMERICA
-77.5,3, phh2o ,3086,6.54421, SAMERICA
-77.5,3.5, phh2o ,3085,6.58235, SAMERICA
-77.5,4, phh2o ,3083,5.78719, SAMERICA
-77.5,4.5, phh2o ,3081,5.88531, SAMERICA
-77.5,5, phh2o ,3078,5.28323, SAMERICA
-77.5,5.5, phh2o ,3076,5.33534, SAMERICA
-77.5,6, phh2o ,3073,5.5917, SAMERICA
-77.5,6.5, phh2o ,3070,5.84816, SAMERICA
-77.5,7, phh2o ,3067,5.61326, SAMERICA
-77.5,7.5, phh2o ,3063,5.39515, SAMERICA
-77.5,8, phh2o ,3059,5.5917, NAMERICA
-77,0, phh2o ,3091,6.10765, SAMERICA
-77,0.5, phh2o ,3091,6.17876, SAMERICA
-77,1, phh2o ,3091,6.26278, SAMERICA
-77,1.5, phh2o ,3090,6.25256, SAMERICA
-77,2, phh2o ,3089,6.27454, SAMERICA
-77,2.5, phh2o ,3088,5.79514, SAMERICA
-77,3, phh2o ,3086,5.29388, SAMERICA
-77,3.5, phh2o ,3085,5.45716, SAMERICA
-77,4, phh2o ,3083,5.53536, SAMERICA
-77,4.5, phh2o ,3081,5.33614, SAMERICA
-77,5, phh2o ,3078,5.46422, SAMERICA
-77,5.5, phh2o ,3076,5.6015, SAMERICA
-77,6, phh2o ,3073,5.86481, SAMERICA
-77,6.5, phh2o ,3070,5.99777, SAMERICA
-77,7, phh2o ,3067,6.04934, SAMERICA
-77,7.5, phh2o ,3063,5.89885, SAMERICA
-77,8, phh2o ,3059,7.12127, SAMERICA
-76.5,0, phh2o ,3091,5.51362, SAMERICA
-76.5,0.5, phh2o ,3091,5.80917, SAMERICA
-76.5,1, phh2o ,3091,6.41044, SAMERICA
-76.5,1.5, phh2o ,3090,6.22043, SAMERICA
-76.5,2, phh2o ,3089,6.269, SAMERICA
-76.5,2.5, phh2o ,3088,6.39956, SAMERICA
-76.5,3, phh2o ,3086,6.31401, SAMERICA
-76.5,3.5, phh2o ,3085,6.04297, SAMERICA
-76.5,4, phh2o ,3083,5.67202, SAMERICA
-76.5,4.5, phh2o ,3081,5.54908, SAMERICA
-76.5,5, phh2o ,3078,5.60912, SAMERICA
-76.5,5.5, phh2o ,3076,5.58197, SAMERICA
-76.5,6, phh2o ,3073,5.60134, SAMERICA
-76.5,6.5, phh2o ,3070,5.43723, SAMERICA
-76.5,7, phh2o ,3067,5.2428, SAMERICA
-76.5,7.5, phh2o ,3063,5.40395, SAMERICA
-76.5,8, phh2o ,3059,6.02378, SAMERICA
-76.5,8.5, phh2o ,3055,6.50843, SAMERICA
-76,0, phh2o ,3091,5.05731, SAMERICA
-76,0.5, phh2o ,3091,5.18441, SAMERICA
-76,1, phh2o ,3091,5.96052, SAMERICA
-76,1.5, phh2o ,3090,6.63723, SAMERICA
-76,2, phh2o ,3089,6.4437, SAMERICA
-76,2.5, phh2o ,3088,6.20857, SAMERICA
-76,3, phh2o ,3086,6.35028, SAMERICA
-76,3.5, phh2o ,3085,6.05569, SAMERICA
-76,4, phh2o ,3083,5.94662, SAMERICA
-76,4.5, phh2o ,3081,6.1938, SAMERICA
-76,5, phh2o ,3078,6.26882, SAMERICA
-76,5.5, phh2o ,3076,6.31831, SAMERICA
-76,6, phh2o ,3073,6.18512, SAMERICA
-76,6.5, phh2o ,3070,5.46482, SAMERICA
-76,7, phh2o ,3067,5.36389, SAMERICA
-76,7.5, phh2o ,3063,5.62385, SAMERICA
-76,8, phh2o ,3059,6.33335, SAMERICA
-76,8.5, phh2o ,3055,6.45055, SAMERICA
-76,9, phh2o ,3051,6.66602, SAMERICA
-75.5,0, phh2o ,3091,5.03502, SAMERICA
-75.5,0.5, phh2o ,3091,5.08703, SAMERICA
-75.5,1, phh2o ,3091,5.24862, SAMERICA
-75.5,1.5, phh2o ,3090,5.87039, SAMERICA
-75.5,2, phh2o ,3089,6.62791, SAMERICA
-75.5,2.5, phh2o ,3088,6.69247, SAMERICA
-75.5,3, phh2o ,3086,6.78346, SAMERICA
-75.5,3.5, phh2o ,3085,6.51507, SAMERICA
-75.5,4, phh2o ,3083,6.19442, SAMERICA
-75.5,4.5, phh2o ,3081,6.27976, SAMERICA
-75.5,5, phh2o ,3078,6.39583, SAMERICA
-75.5,5.5, phh2o ,3076,6.30934, SAMERICA
-75.5,6, phh2o ,3073,5.95955, SAMERICA
-75.5,6.5, phh2o ,3070,5.4371, SAMERICA
-75.5,7, phh2o ,3067,5.53009, SAMERICA
-75.5,7.5, phh2o ,3063,6.03165, SAMERICA
-75.5,8, phh2o ,3059,6.47159, SAMERICA
-75.5,8.5, phh2o ,3055,6.69905, SAMERICA
-75.5,9, phh2o ,3051,7.17448, SAMERICA
-75.5,9.5, phh2o ,3047,6.59995, SAMERICA
-75.5,10, phh2o ,3042,6.57991, SAMERICA
-75.5,10.5, phh2o ,3037,6.16865, SAMERICA
-75,0, phh2o ,3091,5.03502, SAMERICA
-75,0.5, phh2o ,3091,5.14647, SAMERICA
-75,1, phh2o ,3091,5.16876, SAMERICA
-75,1.5, phh2o ,3090,5.27143, SAMERICA
-75,2, phh2o ,3089,5.73391, SAMERICA
-75,2.5, phh2o ,3088,6.23451, SAMERICA
-75,3, phh2o ,3086,6.63183, SAMERICA
-75,3.5, phh2o ,3085,7.2617, SAMERICA
-75,4, phh2o ,3083,6.96801, SAMERICA
-75,4.5, phh2o ,3081,6.47384, SAMERICA
-75,5, phh2o ,3078,5.93447, SAMERICA
-75,5.5, phh2o ,3076,5.46792, SAMERICA
-75,6, phh2o ,3073,5.20317, SAMERICA
-75,6.5, phh2o ,3070,5.39713, SAMERICA
-75,7, phh2o ,3067,5.65799, SAMERICA
-75,7.5, phh2o ,3063,6.32359, SAMERICA
-75,8, phh2o ,3059,6.36109, SAMERICA
-75,8.5, phh2o ,3055,6.41582, SAMERICA
-75,9, phh2o ,3051,6.44528, SAMERICA
-75,9.5, phh2o ,3047,6.41839, SAMERICA
-75,10, phh2o ,3042,6.56071, SAMERICA
-75,10.5, phh2o ,3037,6.36109, SAMERICA
-74.5,0, phh2o ,3091,5.11304, SAMERICA
-74.5,0.5, phh2o ,3091,5.16876, SAMERICA
-74.5,1, phh2o ,3091,5.16876, SAMERICA
-74.5,1.5, phh2o ,3090,5.16876, SAMERICA
-74.5,2, phh2o ,3089,5.20298, SAMERICA
-74.5,2.5, phh2o ,3088,5.65735, SAMERICA
-74.5,3, phh2o ,3086,5.87768, SAMERICA
-74.5,3.5, phh2o ,3085,6.00332, SAMERICA
-74.5,4, phh2o ,3083,6.17169, SAMERICA
-74.5,4.5, phh2o ,3081,6.31502, SAMERICA
-74.5,5, phh2o ,3078,5.6209, SAMERICA
-74.5,5.5, phh2o ,3076,5.78347, SAMERICA
-74.5,6, phh2o ,3073,5.70077, SAMERICA
-74.5,6.5, phh2o ,3070,5.19045, SAMERICA
-74.5,7, phh2o ,3067,5.08688, SAMERICA
-74.5,7.5, phh2o ,3063,5.20845, SAMERICA
-74.5,8, phh2o ,3059,6.02363, SAMERICA
-74.5,8.5, phh2o ,3055,6.4143, SAMERICA
-74.5,9, phh2o ,3051,6.50434, SAMERICA
-74.5,9.5, phh2o ,3047,6.35713, SAMERICA
-74.5,10, phh2o ,3042,6.80724, SAMERICA
-74.5,10.5, phh2o ,3037,6.28148, SAMERICA
-74,0, phh2o ,3091,5.15687, SAMERICA
-74,0.5, phh2o ,3091,5.16876, SAMERICA
-74,1, phh2o ,3091,5.16876, SAMERICA
-74,1.5, phh2o ,3090,5.2258, SAMERICA
-74,2, phh2o ,3089,5.4684, SAMERICA
-74,2.5, phh2o ,3088,5.39284, SAMERICA
-74,3, phh2o ,3086,5.30464, SAMERICA
-74,3.5, phh2o ,3085,5.6835, SAMERICA
-74,4, phh2o ,3083,6.0115, SAMERICA
-74,4.5, phh2o ,3081,6.43949, SAMERICA
-74,5, phh2o ,3078,5.90637, SAMERICA
-74,5.5, phh2o ,3076,5.34733, SAMERICA
-74,6, phh2o ,3073,5.56333, SAMERICA
-74,6.5, phh2o ,3070,6.03478, SAMERICA
-74,7, phh2o ,3067,6.16897, SAMERICA
-74,7.5, phh2o ,3063,5.96346, SAMERICA
-74,8, phh2o ,3059,5.93934, SAMERICA
-74,8.5, phh2o ,3055,6.47791, SAMERICA
-74,9, phh2o ,3051,6.45076, SAMERICA
-74,9.5, phh2o ,3047,5.76517, SAMERICA
-74,10, phh2o ,3042,5.85136, SAMERICA
-74,10.5, phh2o ,3037,5.77276, SAMERICA
-74,11, phh2o ,3032,6.97575, SAMERICA
-73.5,0, phh2o ,3091,5.1197, SAMERICA
-73.5,0.5, phh2o ,3091,5.16876, SAMERICA
-73.5,1, phh2o ,3091,5.15687, SAMERICA
-73.5,1.5, phh2o ,3090,5.18128, SAMERICA
-73.5,2, phh2o ,3089,5.21886, SAMERICA
-73.5,2.5, phh2o ,3088,5.22158, SAMERICA
-73.5,3, phh2o ,3086,5.22185, SAMERICA
-73.5,3.5, phh2o ,3085,5.34302, SAMERICA
-73.5,4, phh2o ,3083,5.55618, SAMERICA
-73.5,4.5, phh2o ,3081,5.89973, SAMERICA
-73.5,5, phh2o ,3078,6.2111, SAMERICA
-73.5,5.5, phh2o ,3076,5.56229, SAMERICA
-73.5,6, phh2o ,3073,6.13843, SAMERICA
-73.5,6.5, phh2o ,3070,5.74695, SAMERICA
-73.5,7, phh2o ,3067,5.75936, SAMERICA
-73.5,7.5, phh2o ,3063,6.36589, SAMERICA
-73.5,8, phh2o ,3059,5.6442, SAMERICA
-73.5,8.5, phh2o ,3055,6.16398, SAMERICA
-73.5,9, phh2o ,3051,7.01733, SAMERICA
-73.5,9.5, phh2o ,3047,6.6002, SAMERICA
-73.5,10, phh2o ,3042,5.89001, SAMERICA
-73.5,10.5, phh2o ,3037,6.42904, SAMERICA
-73.5,11, phh2o ,3032,6.42911, SAMERICA
-73,0, phh2o ,3091,5.05208, SAMERICA
-73,0.5, phh2o ,3091,5.09145, SAMERICA
-73,1, phh2o ,3091,5.11524, SAMERICA
-73,1.5, phh2o ,3090,5.18128, SAMERICA
-73,2, phh2o ,3089,5.23138, SAMERICA
-73,2.5, phh2o ,3088,5.16876, SAMERICA
-73,3, phh2o ,3086,5.17502, SAMERICA
-73,3.5, phh2o ,3085,5.2055, SAMERICA
-73,4, phh2o ,3083,5.41114, SAMERICA
-73,4.5, phh2o ,3081,5.69153, SAMERICA
-73,5, phh2o ,3078,6.47977, SAMERICA
-73,5.5, phh2o ,3076,6.32224, SAMERICA
-73,6, phh2o ,3073,6.58413, SAMERICA
-73,6.5, phh2o ,3070,6.01274, SAMERICA
-73,7, phh2o ,3067,6.01648, SAMERICA
-73,7.5, phh2o ,3063,5.97446, SAMERICA
-73,8, phh2o ,3059,6.40872, SAMERICA
-73,8.5, phh2o ,3055,6.57185, SAMERICA
-73,9, phh2o ,3051,6.16489, SAMERICA
-73,9.5, phh2o ,3047,6.21438, SAMERICA
-73,10, phh2o ,3042,6.34509, SAMERICA
-73,10.5, phh2o ,3037,7.27119, SAMERICA
-73,11, phh2o ,3032,7.51156, SAMERICA
-72.5,0, phh2o ,3091,5.03502, SAMERICA
-72.5,0.5, phh2o ,3091,5.06474, SAMERICA
-72.5,1, phh2o ,3091,5.0561, SAMERICA
