-80,0, ELEV ,3091,271, SAMERICA 
-80,0.5, ELEV ,3091,257, SAMERICA 
-80,8.5, ELEV ,3055,112, NAMERICA 
-80,9, ELEV ,3051,149, NAMERICA 
-79.5,0, ELEV ,3091,257, SAMERICA 
-79.5,0.5, ELEV ,3091,190, SAMERICA 
-79.5,9, ELEV ,3051,315, NAMERICA 
-79,0, ELEV ,3091,1524, SAMERICA 
-79,0.5, ELEV ,3091,528, SAMERICA 
-79,1, ELEV ,3091,108, SAMERICA 
-79,1.5, ELEV ,3090,17, SAMERICA 
-79,8.5, ELEV ,3055,196, NAMERICA 
-79,9, ELEV ,3051,234, NAMERICA 
-78.5,0, ELEV ,3091,2828, SAMERICA 
-78.5,0.5, ELEV ,3091,1937, SAMERICA 
-78.5,1, ELEV ,3091,870, SAMERICA 
-78.5,1.5, ELEV ,3090,112, SAMERICA 
-78.5,2, ELEV ,3089,68, SAMERICA 
-78.5,7.5, ELEV ,3063,107, NAMERICA 
-78.5,8, ELEV ,3059,115, NAMERICA 
-78.5,8.5, ELEV ,3055,345, NAMERICA 
-78.5,9, ELEV ,3051,190, NAMERICA 
-78,0, ELEV ,3091,2506, SAMERICA 
-78,0.5, ELEV ,3091,3204, SAMERICA 
-78,1, ELEV ,3091,2171, SAMERICA 
-78,1.5, ELEV ,3090,708, SAMERICA 
-78,2, ELEV ,3089,146, SAMERICA 
-78,2.5, ELEV ,3088,30, SAMERICA 
-78,7, ELEV ,3067,295, SAMERICA 
-78,7.5, ELEV ,3063,501, NAMERICA 
-78,8, ELEV ,3059,135, NAMERICA 
-78,8.5, ELEV ,3055,251, NAMERICA 
-77.5,0, ELEV ,3091,687, SAMERICA 
-77.5,0.5, ELEV ,3091,2201, SAMERICA 
-77.5,1, ELEV ,3091,2184, SAMERICA 
-77.5,1.5, ELEV ,3090,1490, SAMERICA 
-77.5,2, ELEV ,3089,1659, SAMERICA 
-77.5,2.5, ELEV ,3088,640, SAMERICA 
-77.5,3, ELEV ,3086,159, SAMERICA 
-77.5,3.5, ELEV ,3085,51, SAMERICA 
-77.5,4, ELEV ,3083,51, SAMERICA 
-77.5,4.5, ELEV ,3081,58, SAMERICA 
-77.5,5, ELEV ,3078,105, SAMERICA 
-77.5,5.5, ELEV ,3076,247, SAMERICA 
-77.5,6, ELEV ,3073,383, SAMERICA 
-77.5,6.5, ELEV ,3070,193, SAMERICA 
-77.5,7, ELEV ,3067,125, SAMERICA 
-77.5,7.5, ELEV ,3063,179, SAMERICA 
-77.5,8, ELEV ,3059,339, NAMERICA 
-77,0, ELEV ,3091,295, SAMERICA 
-77,0.5, ELEV ,3091,616, SAMERICA 
-77,1, ELEV ,3091,1930, SAMERICA 
-77,1.5, ELEV ,3090,2489, SAMERICA 
-77,2, ELEV ,3089,2367, SAMERICA 
-77,2.5, ELEV ,3088,1751, SAMERICA 
-77,3, ELEV ,3086,1229, SAMERICA 
-77,3.5, ELEV ,3085,1009, SAMERICA 
-77,4, ELEV ,3083,501, SAMERICA 
-77,4.5, ELEV ,3081,213, SAMERICA 
-77,5, ELEV ,3078,190, SAMERICA 
-77,5.5, ELEV ,3076,200, SAMERICA 
-77,6, ELEV ,3073,281, SAMERICA 
-77,6.5, ELEV ,3070,373, SAMERICA 
-77,7, ELEV ,3067,115, SAMERICA 
-77,7.5, ELEV ,3063,132, SAMERICA 
-77,8, ELEV ,3059,81, SAMERICA 
